adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource,date
133.0,Kenya,51331,Rift Valley,3246,Kalobeyei (Village 2),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,20.0,,2021-03-01
133.0,Kenya,51328,Nairobi,4625,Kawangware (Nairobi),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51331,Rift Valley,3247,Kalobeyei (Village 3),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,10.0,,2021-03-01
133.0,Kenya,51328,Nairobi,4629,Mukuru (Nairobi),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51328,Nairobi,4628,Dandora (Nairobi),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51328,Nairobi,4626,Kangemi (Nairobi),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51326,Coast,4236,Moroto (Mombasa),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,10.0,,2021-03-01
133.0,Kenya,51331,Rift Valley,3244,Kalobeyei (Village 1),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,20.0,,2021-03-01
133.0,Kenya,51329,North Eastern,3252,Dagahaley (Daadab),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,9.881,,2021-03-01
133.0,Kenya,51328,Nairobi,4627,Kibra (Nairobi),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51331,Rift Valley,3251,Kakuma 3,254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,20.0,,2021-03-01
133.0,Kenya,51329,North Eastern,3243,Dadaab town,254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51331,Rift Valley,3253,Ethiopia (Kakuma),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,20.0,,2021-03-01
133.0,Kenya,51329,North Eastern,3255,IFO (Daadab),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,9.75,,2021-03-01
133.0,Kenya,51329,North Eastern,3271,Wajir town,254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,17.5,,2021-03-01
133.0,Kenya,51331,Rift Valley,3245,Mogadishu (Kakuma),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,16.6667,,2021-03-01
133.0,Kenya,51329,North Eastern,3254,Hagadera (Daadab),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51331,Rift Valley,3360,Lodwar town,254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,20.0,,2021-03-01
133.0,Kenya,51331,Rift Valley,3248,Kakuma 2,254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,20.0,,2021-03-01
133.0,Kenya,51326,Coast,4235,Junda (Mombasa),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,10.0,,2021-03-01
133.0,Kenya,51331,Rift Valley,3249,Kakuma 4,254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,20.0,,2021-03-01
133.0,Kenya,51326,Coast,4238,Bangladesh (Mombasa),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,10.0,,2021-03-01
133.0,Kenya,51327,Eastern,3262,Isiolo town,254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,7.0,,2021-03-01
133.0,Kenya,51328,Nairobi,4624,Mathare (Nairobi),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,5.0,,2021-03-01
133.0,Kenya,51326,Coast,4239,Kalahari (Mombasa),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,3,2021,10.0,,2021-03-01
133.0,Kenya,51326,Coast,4238,Bangladesh (Mombasa),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,4,2021,10.0,,2021-04-01
133.0,Kenya,51329,North Eastern,3254,Hagadera (Daadab),254,Bananas - Retail,0.0,KES,15,Retail,33,Unit,4,2021,8.4375,,2021-04-01
